name,email,number,password,city
"kadiwala 111111",ma@gmail.com,9316471633,123321,mahesana
hasan,hasan@gmail.com,9316471633,662326,bharuch
kalabe,ka@gmail.com,9316471542,53757,himattnagr
abc,abc@gmail.com,9316471633,ndvhj34,benglur
Mahammadali,ma@gmail.com,9316471633,67863nfe,mubie
akbar,ak@gmail.com,927363412,6738bja,kalol
vajir,va@gmail.com,912343215,36876gfaf,palnpur
kasim,kasim@gmail.com,876543456,3737bn,patan
"Mahammadali Kadiwala",ma@gmail.com,9316471633,83686bnaa,gadhinagr
"Mahammadali Kadiwala",ma@gmail.com,9316471633,uiqtr783,ahemdabad
"Mahammadali Kadiwala",ma@gmail.com,9316471633,3333,siddhpur
"Mahammadali Kadiwala",ma@gmail.com,9316471633,12345,palnpur
sgjdga,kgeuge,478324782,7364dbsnd,guragav
sgjdga,kgeuge,478324782,7364dbsnd,guragav
